subscriber_key_json, destination_record_associations_json
"{""id"":""23fb5326-0e8c-4e2f-8c62-f90d8de76f5a"",""type"":""BillingAccount""}","[{""destRecId"":""b8706e90-1909-441d-b3e9-90352c15b526"",""contactId"":""8bfad0d6-99fd-43b8-82fa-5f94a02fbb8b"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""70c2c9bf-da29-4dea-8550-c206c8308e44"",""type"":""BillingAccount""}","[{""destRecId"":""9e586e90-0e85-4c2b-ab44-e4d431da3e2e"",""contactId"":""86af1526-8aac-451e-9141-c517c94959e1"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""a16f52d5-6024-4a2d-97ec-87acf17d35cc"",""contactId"":""86af1526-8aac-451e-9141-c517c94959e1"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""5e2e16c3-0d5f-45a3-8b0b-1a8cc2dbf47b"",""type"":""BillingAccount""}","[{""destRecId"":""243662cb-64cf-4bf6-b311-7933d6882ed3"",""contactId"":""99af5e82-2a98-4c7e-97a3-b22e8d7f8c26"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""37b99617-5d68-4815-aeec-22244053aa06"",""contactId"":""99af5e82-2a98-4c7e-97a3-b22e8d7f8c26"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""13cc3563-45d2-45d6-8cf6-374faee7f387"",""type"":""BillingAccount""}","[{""destRecId"":""10d42366-50a6-4425-ad45-09831bd5bd5b"",""contactId"":""4d4b5088-f85c-45c3-8ffa-382bf2d7be35"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""43d4dce8-ab67-4635-96ce-6863836ef54a"",""contactId"":""4d4b5088-f85c-45c3-8ffa-382bf2d7be35"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""ce841a94-62b9-418c-833a-0d937d254727"",""type"":""BillingAccount""}","[{""destRecId"":""3227e3d6-fbc6-4382-a8bc-e18e020f5e70"",""contactId"":""a21b5ab3-d881-4f76-8706-5a87d6f4856b"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""9ac72588-7571-4f0f-b2bf-f41beb27d0e0"",""contactId"":""a21b5ab3-d881-4f76-8706-5a87d6f4856b"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""64724b2e-7c6a-43c1-9499-96cc36075c59"",""type"":""Customer""}","[{""destRecId"":""b4902183-8ed3-4795-ba31-2d0576bac0ef"",""contactId"":""56ed4327-291e-4e23-b59a-acea9e0d7689"",""scope"":{""mode"":""INCLUDE"",""categories"":[""COLLECTIONS_MANAGER""]},""disabled"":false},{""destRecId"":""b4902183-8ed3-4795-ba31-2d0576bac0ef"",""contactId"":""56ed4327-291e-4e23-b59a-acea9e0d7689"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""130eb682-74da-41ae-a131-c2089f1089d4"",""contactId"":""56ed4327-291e-4e23-b59a-acea9e0d7689"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""b4902183-8ed3-4795-ba31-2d0576bac0ef"",""contactId"":""56ed4327-291e-4e23-b59a-acea9e0d7689"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""130eb682-74da-41ae-a131-c2089f1089d4"",""contactId"":""56ed4327-291e-4e23-b59a-acea9e0d7689"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""70992688-da68-4547-be75-531496b60689"",""type"":""BillingAccount""}","[{""destRecId"":""8f6e17a2-feb4-4b8a-807f-74a0cf3d786a"",""contactId"":""981dd489-d86f-4722-9310-144c428ad7db"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""d935d8bd-0660-4f89-a4f3-2a9545e00153"",""contactId"":""981dd489-d86f-4722-9310-144c428ad7db"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""8f6e17a2-feb4-4b8a-807f-74a0cf3d786a"",""contactId"":""981dd489-d86f-4722-9310-144c428ad7db"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_EmEx_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""cbe5e5dd-48e5-430f-9fce-9945a70a8084"",""contactId"":""981dd489-d86f-4722-9310-144c428ad7db"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_EmEx_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""575dc67f-9ac9-40ee-b4be-3bd37df8db1c"",""contactId"":""981dd489-d86f-4722-9310-144c428ad7db"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_EmEx_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""8fe8791f-028f-46b0-ae21-4ed5f7cc9087"",""type"":""Customer""}","[{""destRecId"":""1225068c-ae0d-4c02-b7cd-9e6383adf6e8"",""contactId"":""2282055f-c0d0-4c16-8a18-83ee32d5ab97"",""scope"":{""mode"":""INCLUDE"",""categories"":[""COLLECTIONS_MANAGER""]},""disabled"":false},{""destRecId"":""1225068c-ae0d-4c02-b7cd-9e6383adf6e8"",""contactId"":""2282055f-c0d0-4c16-8a18-83ee32d5ab97"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""ce21f848-fbe9-48d6-9e55-c03e021e5c54"",""contactId"":""2282055f-c0d0-4c16-8a18-83ee32d5ab97"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""1225068c-ae0d-4c02-b7cd-9e6383adf6e8"",""contactId"":""2282055f-c0d0-4c16-8a18-83ee32d5ab97"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""ce21f848-fbe9-48d6-9e55-c03e021e5c54"",""contactId"":""2282055f-c0d0-4c16-8a18-83ee32d5ab97"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""80bde6e3-0439-4c6f-94d2-dbdceef8edd9"",""type"":""BillingAccount""}","[{""destRecId"":""82f4afd0-6995-48cf-b6fa-a89ddef313ae"",""contactId"":""565cdd5e-dc7d-4cb0-9a99-4fbe7d91f295"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""31a772b4-ec8b-411a-a6e6-972e402d4fc0"",""contactId"":""565cdd5e-dc7d-4cb0-9a99-4fbe7d91f295"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""bce5902f-e8b5-406f-a7bd-74c2016f8d60"",""type"":""BillingAccount""}","[{""destRecId"":""61487e91-fa9d-4839-a800-05e819d8839e"",""contactId"":""20b45fa6-b4f0-4b8f-94ec-c71e86e5cd61"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""1d8bef24-9996-4c94-a03c-b71c9af64f24"",""contactId"":""20b45fa6-b4f0-4b8f-94ec-c71e86e5cd61"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
