subscriber_key_json, destination_record_associations_json
"{""id"":""3043713b-d960-43d1-8347-1596f184443d"",""type"":""Customer""}","[{""destRecId"":""46ca63ae-5137-44e8-be88-c813ca285914"",""contactId"":""61c590a3-1c92-4bb7-a866-78001aff7ef0"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""201d9f8e-826c-436f-b979-7f02e34396fe"",""contactId"":""61c590a3-1c92-4bb7-a866-78001aff7ef0"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""46ca63ae-5137-44e8-be88-c813ca285914"",""contactId"":""61c590a3-1c92-4bb7-a866-78001aff7ef0"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""201d9f8e-826c-436f-b979-7f02e34396fe"",""contactId"":""61c590a3-1c92-4bb7-a866-78001aff7ef0"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""9a38606f-ac12-4959-8790-b2670b04a1e6"",""type"":""Customer""}","[{""destRecId"":""83c4c466-b39d-437f-aa74-5dae00189a60"",""contactId"":""be5ac87a-889a-44da-a3ad-5f057ee7acae"",""scope"":{""mode"":""INCLUDE"",""categories"":[""COLLECTIONS_MANAGER""]},""disabled"":false},{""destRecId"":""83c4c466-b39d-437f-aa74-5dae00189a60"",""contactId"":""be5ac87a-889a-44da-a3ad-5f057ee7acae"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""02344dbb-a55e-4462-ac65-f0adc30ad8c2"",""contactId"":""be5ac87a-889a-44da-a3ad-5f057ee7acae"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""83c4c466-b39d-437f-aa74-5dae00189a60"",""contactId"":""be5ac87a-889a-44da-a3ad-5f057ee7acae"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""02344dbb-a55e-4462-ac65-f0adc30ad8c2"",""contactId"":""be5ac87a-889a-44da-a3ad-5f057ee7acae"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""c0eb0584-0799-410c-a6b9-6131b4a51d59"",""type"":""Customer""}","[{""destRecId"":""4ef3cd45-991a-4c8a-be62-77724747441e"",""contactId"":""1d899aaa-e320-4a06-b9f5-e397e345711c"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""ec8f1cec-79e8-4c54-a688-635a86beba24"",""contactId"":""1d899aaa-e320-4a06-b9f5-e397e345711c"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""4ef3cd45-991a-4c8a-be62-77724747441e"",""contactId"":""1d899aaa-e320-4a06-b9f5-e397e345711c"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""ec8f1cec-79e8-4c54-a688-635a86beba24"",""contactId"":""1d899aaa-e320-4a06-b9f5-e397e345711c"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""3d42617b-32b2-4e5a-aa91-3eaae6d35fe0"",""type"":""Customer""}","[{""destRecId"":""63393d80-ff00-47d5-8fa7-350c9948caa5"",""contactId"":""fb172de1-0198-4f7e-83e8-3dd228368909"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""222364ac-d528-46ab-8111-ed3baf7e39d3"",""contactId"":""fb172de1-0198-4f7e-83e8-3dd228368909"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""63393d80-ff00-47d5-8fa7-350c9948caa5"",""contactId"":""fb172de1-0198-4f7e-83e8-3dd228368909"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""222364ac-d528-46ab-8111-ed3baf7e39d3"",""contactId"":""fb172de1-0198-4f7e-83e8-3dd228368909"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""b6982107-010a-4293-ba46-409725e41c7a"",""type"":""BillingAccount""}","[{""destRecId"":""b0dc9cd5-e966-4666-8264-ad5f0696b481"",""contactId"":""89316eed-42a3-4d7c-938b-841dcd3afabf"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""71e5af1f-2874-4830-9b2c-08f60c02ae04"",""contactId"":""89316eed-42a3-4d7c-938b-841dcd3afabf"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""23aabf36-7721-4935-9a5f-578587393900"",""type"":""Customer""}","[{""destRecId"":""b8ea2e3b-0793-4e88-bc01-36e7358be7f3"",""contactId"":""ad10c565-31d2-4a68-a37a-6dad17be6826"",""scope"":{""mode"":""INCLUDE"",""categories"":[""COLLECTIONS_MANAGER""]},""disabled"":false},{""destRecId"":""b8ea2e3b-0793-4e88-bc01-36e7358be7f3"",""contactId"":""ad10c565-31d2-4a68-a37a-6dad17be6826"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""1892527d-f2b4-4d42-93c5-e33a3916de7a"",""contactId"":""ad10c565-31d2-4a68-a37a-6dad17be6826"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""b8ea2e3b-0793-4e88-bc01-36e7358be7f3"",""contactId"":""ad10c565-31d2-4a68-a37a-6dad17be6826"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""1892527d-f2b4-4d42-93c5-e33a3916de7a"",""contactId"":""ad10c565-31d2-4a68-a37a-6dad17be6826"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""d70b6cb3-49cb-4c6b-bf5d-46ad7644a1ec"",""type"":""BillingAccount""}","[{""destRecId"":""bcc0d300-eca6-4a79-9236-322364a1424c"",""contactId"":""4b36eaf9-3fc7-4103-ac15-9396d320d0e3"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""3d3f553e-c8f5-4c4f-a7f1-a2313a29acf2"",""contactId"":""4b36eaf9-3fc7-4103-ac15-9396d320d0e3"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""7bb39855-0805-43e2-88e5-b9f9d98fb5c8"",""type"":""BillingAccount""}","[{""destRecId"":""01a709b5-e566-4162-9811-df2d19966d58"",""contactId"":""6210156b-bd5d-4cb6-a5ad-322dfc10e79a"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""73b3b970-12a8-4522-aec4-f2230ec9fc9c"",""contactId"":""6210156b-bd5d-4cb6-a5ad-322dfc10e79a"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""26a9fdad-913c-4096-a29e-98b4ed3dad1c"",""type"":""Customer""}","[{""destRecId"":""7c346a71-d485-44eb-9ebf-5c29b7d79fd9"",""contactId"":""243fd5ba-c505-4c97-a500-be0afc068d07"",""scope"":{""mode"":""INCLUDE"",""categories"":[""COLLECTIONS_MANAGER""]},""disabled"":false},{""destRecId"":""7c346a71-d485-44eb-9ebf-5c29b7d79fd9"",""contactId"":""243fd5ba-c505-4c97-a500-be0afc068d07"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""9871a7d0-9e4b-43f5-ab2c-e2e46fc23db7"",""contactId"":""243fd5ba-c505-4c97-a500-be0afc068d07"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""7c346a71-d485-44eb-9ebf-5c29b7d79fd9"",""contactId"":""243fd5ba-c505-4c97-a500-be0afc068d07"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""9871a7d0-9e4b-43f5-ab2c-e2e46fc23db7"",""contactId"":""243fd5ba-c505-4c97-a500-be0afc068d07"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""d24b7427-88d5-4ddd-95e5-b2731b95b431"",""type"":""Customer""}","[{""destRecId"":""c4f2b9be-5992-4ad6-98d5-d4bca275f854"",""contactId"":""f63e24b7-123e-4eb2-9e15-b686d5f093ad"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MARKETING_SMS""]},""disabled"":false},{""destRecId"":""25f5a853-b308-4f93-8598-d86a490b3c28"",""contactId"":""f63e24b7-123e-4eb2-9e15-b686d5f093ad"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""c4f2b9be-5992-4ad6-98d5-d4bca275f854"",""contactId"":""f63e24b7-123e-4eb2-9e15-b686d5f093ad"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""27290f9f-e6b8-4ff8-9ddb-404fc20361bb"",""contactId"":""f63e24b7-123e-4eb2-9e15-b686d5f093ad"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_EmEx_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""f5f29def-01bc-40b5-9e8a-122001aa8360"",""contactId"":""f63e24b7-123e-4eb2-9e15-b686d5f093ad"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_EmEx_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""c4f2b9be-5992-4ad6-98d5-d4bca275f854"",""contactId"":""f63e24b7-123e-4eb2-9e15-b686d5f093ad"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MARKETING_CALLS""]},""disabled"":false},{""destRecId"":""25f5a853-b308-4f93-8598-d86a490b3c28"",""contactId"":""f63e24b7-123e-4eb2-9e15-b686d5f093ad"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MARKETING_EMAILS""]},""disabled"":false},{""destRecId"":""c4f2b9be-5992-4ad6-98d5-d4bca275f854"",""contactId"":""f63e24b7-123e-4eb2-9e15-b686d5f093ad"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""25f5a853-b308-4f93-8598-d86a490b3c28"",""contactId"":""f63e24b7-123e-4eb2-9e15-b686d5f093ad"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""91f41dd8-d6d2-405f-8d7a-0148c2f42c3e"",""type"":""BillingAccount""}","[{""destRecId"":""542e5284-75a7-4c61-8cfa-8864e23788c1"",""contactId"":""8b115abf-3fb9-4b16-92ed-e1353e69dd60"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""4d4ab910-7a1e-4d11-a1bc-1a1685b42e61"",""contactId"":""8b115abf-3fb9-4b16-92ed-e1353e69dd60"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""1f459cdd-0afb-44ad-8456-58f0b7030527"",""contactId"":""8b115abf-3fb9-4b16-92ed-e1353e69dd60"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_EmEx_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""feefc87b-f1f0-4c86-8831-80803bb6130b"",""contactId"":""8b115abf-3fb9-4b16-92ed-e1353e69dd60"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_EmEx_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""426f3fda-8a40-4683-ada1-a867621cbb14"",""type"":""BillingAccount""}","[{""destRecId"":""e3787203-12c1-4568-90c6-90947cda689b"",""contactId"":""0db809e3-1a75-4a32-abb5-03992294597c"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""58ba8c3e-80bd-40f4-8f46-282c1ab18ba6"",""contactId"":""0db809e3-1a75-4a32-abb5-03992294597c"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""9f7577dc-d3da-4cf5-a001-4074d04fcac4"",""type"":""BillingAccount""}","[{""destRecId"":""a0e8003f-bcc0-40ba-89a2-7349b9ff512f"",""contactId"":""5905aae2-d643-4825-84b1-78f28286bb76"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""376b742c-fb01-42a9-8bff-ae7ffe3e5236"",""contactId"":""5905aae2-d643-4825-84b1-78f28286bb76"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""99caf3ab-f04b-4942-9372-e8a64e049c5c"",""type"":""Customer""}","[{""destRecId"":""19bdd290-a052-42d2-9dc2-4762e5697812"",""contactId"":""fc593adb-f10b-4e63-9542-b66e5ed0ed63"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MARKETING_SMS""]},""disabled"":false},{""destRecId"":""19bdd290-a052-42d2-9dc2-4762e5697812"",""contactId"":""fc593adb-f10b-4e63-9542-b66e5ed0ed63"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""79cda3e2-4f79-43e7-83ab-e9739ba3400e"",""contactId"":""fc593adb-f10b-4e63-9542-b66e5ed0ed63"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""ead75e54-3006-466d-823a-396f18b4af6c"",""contactId"":""fc593adb-f10b-4e63-9542-b66e5ed0ed63"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_EmEx_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""9fa20aaf-345e-4666-bc74-d8f1e5bb15c6"",""contactId"":""fc593adb-f10b-4e63-9542-b66e5ed0ed63"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_EmEx_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""19bdd290-a052-42d2-9dc2-4762e5697812"",""contactId"":""fc593adb-f10b-4e63-9542-b66e5ed0ed63"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MARKETING_CALLS""]},""disabled"":false},{""destRecId"":""79cda3e2-4f79-43e7-83ab-e9739ba3400e"",""contactId"":""fc593adb-f10b-4e63-9542-b66e5ed0ed63"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MARKETING_EMAILS""]},""disabled"":false},{""destRecId"":""19bdd290-a052-42d2-9dc2-4762e5697812"",""contactId"":""fc593adb-f10b-4e63-9542-b66e5ed0ed63"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""79cda3e2-4f79-43e7-83ab-e9739ba3400e"",""contactId"":""fc593adb-f10b-4e63-9542-b66e5ed0ed63"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""83e2650c-1297-429a-adb1-867bc25fd05c"",""type"":""Customer""}","[{""destRecId"":""b4616661-7570-45e9-ac9e-717eb982c9da"",""contactId"":""63b3076c-4138-4bf1-b0cb-f31c4245946d"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""2ca3692f-0059-47e2-a59e-0ca310648c53"",""contactId"":""63b3076c-4138-4bf1-b0cb-f31c4245946d"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""b4616661-7570-45e9-ac9e-717eb982c9da"",""contactId"":""63b3076c-4138-4bf1-b0cb-f31c4245946d"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""2ca3692f-0059-47e2-a59e-0ca310648c53"",""contactId"":""63b3076c-4138-4bf1-b0cb-f31c4245946d"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""f015dcdf-0fff-45cf-8269-22faa2c07427"",""type"":""BillingAccount""}","[{""destRecId"":""e9efedcb-e98d-4a56-95cb-bd9f1ca7c524"",""contactId"":""d628cda9-4875-4864-9c35-9dbb7fe067c8"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""32e8cd45-e963-4923-b14c-b51a7b5deaca"",""contactId"":""d628cda9-4875-4864-9c35-9dbb7fe067c8"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""343b0c9f-e7b9-4d9b-a49f-b7e61349f7b3"",""type"":""Customer""}","[{""destRecId"":""32f3dd7a-41e6-4e92-8614-9c83f4a4c30a"",""contactId"":""f1c4cc95-5c1f-4d43-b0d2-0ae1c683a9bf"",""scope"":{""mode"":""INCLUDE"",""categories"":[""COLLECTIONS_MANAGER""]},""disabled"":false},{""destRecId"":""32f3dd7a-41e6-4e92-8614-9c83f4a4c30a"",""contactId"":""f1c4cc95-5c1f-4d43-b0d2-0ae1c683a9bf"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""35ad4169-94b5-408f-ac9b-4e4fc4d636da"",""contactId"":""f1c4cc95-5c1f-4d43-b0d2-0ae1c683a9bf"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""32f3dd7a-41e6-4e92-8614-9c83f4a4c30a"",""contactId"":""f1c4cc95-5c1f-4d43-b0d2-0ae1c683a9bf"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""35ad4169-94b5-408f-ac9b-4e4fc4d636da"",""contactId"":""f1c4cc95-5c1f-4d43-b0d2-0ae1c683a9bf"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""32f3dd7a-41e6-4e92-8614-9c83f4a4c30a"",""contactId"":""f1c4cc95-5c1f-4d43-b0d2-0ae1c683a9bf"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MARKETING_SMS""]},""disabled"":false}]"
"{""id"":""4a9b6b33-5546-4c0a-921d-766533940ab9"",""type"":""BillingAccount""}","[{""destRecId"":""4ce19dca-7862-4244-b8a0-54de702a795f"",""contactId"":""0355f067-43e5-45dd-93e9-303073c6c78c"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""3a9ffebe-1d03-4330-9995-8b90854f883e"",""contactId"":""0355f067-43e5-45dd-93e9-303073c6c78c"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""370b9a28-f0d0-47ae-a28a-319317d8767f"",""contactId"":""0355f067-43e5-45dd-93e9-303073c6c78c"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_EmEx_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""4ce19dca-7862-4244-b8a0-54de702a795f"",""contactId"":""0355f067-43e5-45dd-93e9-303073c6c78c"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_EmEx_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""78684876-035f-404d-babf-3cbd0f73cd9b"",""contactId"":""0355f067-43e5-45dd-93e9-303073c6c78c"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_EmEx_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""458b56e4-3c33-4ea5-86f8-324d0d7cbbee"",""type"":""BillingAccount""}","[{""destRecId"":""18eb730e-67c6-4ef4-b5bb-3ffe51b32c58"",""contactId"":""dddf4561-71cd-4245-a709-270d5e1a887d"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""030cceac-aa85-4fd9-9de7-3c2cfa6b7c0b"",""contactId"":""dddf4561-71cd-4245-a709-270d5e1a887d"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""9848342a-b282-4485-944c-0e360ee2cb2b"",""type"":""BillingAccount""}","[{""destRecId"":""5b1ec14b-15fd-441f-9950-d158dffbaad5"",""contactId"":""6c4fa82b-924a-46f2-9efb-2dbcf7520eec"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""ce71767b-38cf-4980-be46-682aec1e6215"",""contactId"":""6c4fa82b-924a-46f2-9efb-2dbcf7520eec"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""85e13b36-2ff7-4e3d-bdc5-71e61cd0e29e"",""type"":""Customer""}","[{""destRecId"":""4570e9d3-b5c5-4b78-a9c7-fc21e9daf888"",""contactId"":""4a1ad09a-1726-4b0b-ad2c-a20f6034cb35"",""scope"":{""mode"":""INCLUDE"",""categories"":[""COLLECTIONS_MANAGER""]},""disabled"":false},{""destRecId"":""4570e9d3-b5c5-4b78-a9c7-fc21e9daf888"",""contactId"":""4a1ad09a-1726-4b0b-ad2c-a20f6034cb35"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""2c7bffba-78b8-4800-9615-dfecb4dcd4d1"",""contactId"":""4a1ad09a-1726-4b0b-ad2c-a20f6034cb35"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""4570e9d3-b5c5-4b78-a9c7-fc21e9daf888"",""contactId"":""4a1ad09a-1726-4b0b-ad2c-a20f6034cb35"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""2c7bffba-78b8-4800-9615-dfecb4dcd4d1"",""contactId"":""4a1ad09a-1726-4b0b-ad2c-a20f6034cb35"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""4cb8222d-2d3c-4a2c-84e0-ee8f2eb31414"",""type"":""Customer""}","[{""destRecId"":""34a1c629-07d7-408d-9bd7-f9248a59b26a"",""contactId"":""88071ac0-0988-4eac-86d8-6630875cbd09"",""scope"":{""mode"":""INCLUDE"",""categories"":[""COLLECTIONS_MANAGER""]},""disabled"":false},{""destRecId"":""34a1c629-07d7-408d-9bd7-f9248a59b26a"",""contactId"":""88071ac0-0988-4eac-86d8-6630875cbd09"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""6d01343a-2cbf-4df1-9ca8-8053b171a107"",""contactId"":""88071ac0-0988-4eac-86d8-6630875cbd09"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""34a1c629-07d7-408d-9bd7-f9248a59b26a"",""contactId"":""88071ac0-0988-4eac-86d8-6630875cbd09"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""6d01343a-2cbf-4df1-9ca8-8053b171a107"",""contactId"":""88071ac0-0988-4eac-86d8-6630875cbd09"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""198e2d49-b93a-4fb3-ad8e-938f75c4e1ce"",""type"":""Customer""}","[{""destRecId"":""71718a90-ed58-4191-96b0-4bc11473c77d"",""contactId"":""514b7094-36ef-49e6-9fa0-8e2882344979"",""scope"":{""mode"":""INCLUDE"",""categories"":[""COLLECTIONS_MANAGER""]},""disabled"":false},{""destRecId"":""71718a90-ed58-4191-96b0-4bc11473c77d"",""contactId"":""514b7094-36ef-49e6-9fa0-8e2882344979"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""02b0aea5-73bb-4a78-a5ed-f92866cbb942"",""contactId"":""514b7094-36ef-49e6-9fa0-8e2882344979"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""71718a90-ed58-4191-96b0-4bc11473c77d"",""contactId"":""514b7094-36ef-49e6-9fa0-8e2882344979"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""02b0aea5-73bb-4a78-a5ed-f92866cbb942"",""contactId"":""514b7094-36ef-49e6-9fa0-8e2882344979"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""a44e1004-bb78-4477-b6b7-d1869bda6001"",""type"":""Customer""}","[{""destRecId"":""14d239b0-6255-4b0f-958f-2ecd870ec22e"",""contactId"":""ab84cda3-2b86-4800-8309-49afda41a378"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""d4cdec9d-6032-43a3-9892-fb9be46b2193"",""contactId"":""ab84cda3-2b86-4800-8309-49afda41a378"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""14d239b0-6255-4b0f-958f-2ecd870ec22e"",""contactId"":""ab84cda3-2b86-4800-8309-49afda41a378"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""d4cdec9d-6032-43a3-9892-fb9be46b2193"",""contactId"":""ab84cda3-2b86-4800-8309-49afda41a378"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false}]"
